"id","year","type","disaster","disaster_start_date","qualifier","payment_type"
"01001",2017,"Annual Ryegrass","Drought","2016-12-01","D4a","4 Month"
"01001",2016,"Forage Sorghum","Drought","2016-11-01","D3","3 Month"
"01001",2011,"Forage Sorghum","Drought","2011-08-30","D4","3 Month"
"01001",2008,"Forage Sorghum","Drought","2008-08-05","D3","2 Month"
"01001",2017,"Full Season Improved Pasture","Drought","2016-12-01","D4a","4 Month"
"01001",2016,"Full Season Improved Pasture","Drought","2016-11-01","D4a","4 Month"
"01001",2011,"Improved Pasture","Drought","2011-08-30","D4","3 Month"
"01001",2010,"Improved Pasture","Drought","2010-09-21","D2","1 Month"
"01001",2008,"Improved Pasture","Drought","2008-03-15","D4","3 Month"
"01001",2017,"Long Season Small Grains","Drought","2016-11-15","D4a","4 Month"
"01001",2013,"Long Season Small Grains","Drought","2012-11-20","D2","1 Month"
"01001",2012,"Long Season Small Grains","Drought","2011-11-15","D3","3 Month"
"01001",2008,"Small Grains","Drought","2007-11-15","D4","3 Month"
"01003",2017,"Annual Ryegrass","Drought","2016-12-01","D3","3 Month"
"01003",2023,"Forage Sorghum","Drought","2023-09-12","D4a","4 Month"
"01003",2011,"Forage Sorghum","Drought","2011-05-03","D4","3 Month"
"01003",2010,"Forage Sorghum","Drought","2010-10-12","D3","2 Month"
"01003",2023,"Full Season Improved Mixed Pasture","Drought","2023-09-12","D4a","4 Month"
"01003",2020,"Full Season Improved Mixed Pasture","Drought","2020-06-08","D2","1 Month"
"01003",2023,"Full Season Improved Pasture","Drought","2023-09-12","D4a","4 Month"
"01003",2020,"Full Season Improved Pasture","Drought","2020-06-08","D2","1 Month"
"01003",2017,"Full Season Improved Pasture","Drought","2016-12-01","D3","3 Month"
"01003",2016,"Full Season Improved Pasture","Drought","2016-11-29","D3","3 Month"
"01003",2011,"Improved Pasture","Drought","2011-03-01","D4","3 Month"
"01003",2010,"Improved Pasture","Drought","2010-10-12","D4","3 Month"
"01003",2017,"Long Season Small Grains","Drought","2016-11-29","D3","3 Month"
"01003",2012,"Long Season Small Grains","Drought","2011-11-15","D3","3 Month"
"01003",2011,"Long Season Small Grains","Drought","2010-11-16","D3","2 Month"
"01005",2017,"Annual Ryegrass","Drought","2016-12-01","D4a","4 Month"
"01005",2019,"Forage Sorghum","Drought","2019-09-09","D3","3 Month"
"01005",2016,"Forage Sorghum","Drought","2016-10-25","D3","3 Month"
"01005",2012,"Forage Sorghum","Drought","2012-05-01","D4b","5 Month"
"01005",2011,"Forage Sorghum","Drought","2011-05-24","D4","3 Month"
"01005",2008,"Forage Sorghum","Drought","2008-08-12","D3","2 Month"
"01005",2019,"Full Season Improved Mixed Pasture","Drought","2019-09-09","D3","3 Month"
"01005",2019,"Full Season Improved Pasture","Drought","2019-09-09","D3","3 Month"
"01005",2017,"Full Season Improved Pasture","Drought","2016-12-01","D4a","4 Month"
"01005",2016,"Full Season Improved Pasture","Drought","2016-10-25","D4b","5 Month"
"01005",2012,"Improved Pasture","Drought","2012-03-01","D4b","5 Month"
"01005",2011,"Improved Pasture","Drought","2011-03-01","D4","3 Month"
"01005",2008,"Improved Pasture","Drought","2008-08-12","D3","2 Month"
"01005",2017,"Long Season Small Grains","Drought","2016-11-15","D4b","5 Month"
"01005",2013,"Long Season Small Grains","Drought","2012-11-15","D3","3 Month"
"01005",2012,"Long Season Small Grains","Drought","2011-11-15","D4b","5 Month"
"01005",2011,"Long Season Small Grains","Drought","2010-11-15","D3","2 Month"
"01005",2008,"Small Grains","Drought","2007-11-15","D4","3 Month"
"01007",2024,"Annual Ryegrass","Drought","2023-12-01","D4a","4 Month"
"01007",2018,"Annual Ryegrass","Drought","2018-01-30","D3","3 Month"
"01007",2017,"Annual Ryegrass","Drought","2016-12-01","D4b","5 Month"
"01007",2016,"Forage Sorghum","Drought","2016-10-04","D4a","4 Month"
"01007",2011,"Forage Sorghum","Drought","2011-08-30","D4","3 Month"
"01007",2008,"Forage Sorghum","Drought","2008-08-05","D3","2 Month"
"01007",2024,"Full Season Improved Mixed Pasture","Drought","2023-12-01","D4a","4 Month"
"01007",2018,"Full Season Improved Mixed Pasture","Drought","2018-01-30","D3","3 Month"
"01007",2023,"Full Season Improved Pasture","Drought","2023-11-14","D3","3 Month"
"01007",2017,"Full Season Improved Pasture","Drought","2016-12-01","D4b","5 Month"
"01007",2016,"Full Season Improved Pasture","Drought","2016-10-04","D4b","5 Month"
"01007",2011,"Improved Pasture","Drought","2011-08-30","D4","3 Month"
"01007",2008,"Improved Pasture","Drought","2008-03-15","D4","3 Month"
"01007",2024,"Long Season Small Grains","Drought","2023-12-01","D4a","4 Month"
"01007",2018,"Long Season Small Grains","Drought","2018-01-30","D3","3 Month"
"01007",2017,"Long Season Small Grains","Drought","2016-11-15","D4b","5 Month"
"01007",2012,"Long Season Small Grains","Drought","2011-11-15","D3","3 Month"
"01007",2008,"Small Grains","Drought","2007-11-15","D4","3 Month"
"01009",2024,"Annual Ryegrass","Drought","2023-12-01","D4a","4 Month"
"01009",2017,"Annual Ryegrass","Drought","2016-12-01","D4b","5 Month"
"01009",2023,"Forage Sorghum","Drought","2023-10-31","D3","3 Month"
"01009",2016,"Forage Sorghum","Drought","2016-09-27","D3","3 Month"
"01009",2008,"Forage Sorghum","Drought","2008-08-05","D3","2 Month"
"01009",2024,"Full Season Improved Mixed Pasture","Drought","2023-12-01","D4a","4 Month"
"01009",2023,"Full Season Improved Pasture","Drought","2023-10-31","D3","3 Month"
"01009",2017,"Full Season Improved Pasture","Drought","2016-12-01","D4b","5 Month"
"01009",2016,"Full Season Improved Pasture","Drought","2016-05-31","D4b","5 Month"
"01009",2008,"Improved Pasture","Drought","2008-04-01","D4","3 Month"
"01009",2024,"Long Season Small Grains","Drought","2023-12-01","D4a","4 Month"
"01009",2017,"Long Season Small Grains","Drought","2016-12-01","D4b","5 Month"
"01009",2008,"Small Grains","Drought","2007-12-01","D4","3 Month"
"01011",2017,"Annual Ryegrass","Drought","2016-12-01","D4a","4 Month"
"01011",2016,"Forage Sorghum","Drought","2016-10-25","D3","3 Month"
"01011",2012,"Forage Sorghum","Drought","2012-05-01","D4a","4 Month"
"01011",2011,"Forage Sorghum","Drought","2011-06-07","D4","3 Month"
"01011",2008,"Forage Sorghum","Drought","2008-08-12","D3","2 Month"
"01011",2017,"Full Season Improved Pasture","Drought","2016-12-01","D4a","4 Month"
"01011",2016,"Full Season Improved Pasture","Drought","2016-10-25","D4a","4 Month"
"01011",2012,"Improved Pasture","Drought","2012-03-01","D4a","4 Month"
"01011",2011,"Improved Pasture","Drought","2011-03-01","D4","3 Month"
"01011",2010,"Improved Pasture","Drought","2010-09-21","D2","1 Month"
"01011",2008,"Improved Pasture","Drought","2008-08-12","D3","2 Month"
"01011",2017,"Long Season Small Grains","Drought","2016-11-15","D4a","4 Month"
"01011",2013,"Long Season Small Grains","Drought","2012-11-27","D4a","4 Month"
"01011",2012,"Long Season Small Grains","Drought","2011-11-15","D4a","4 Month"
"01011",2011,"Long Season Small Grains","Drought","2010-11-15","D2","1 Month"
"01011",2008,"Small Grains","Drought","2007-11-15","D4","3 Month"
"01013",2017,"Annual Ryegrass","Drought","2016-12-01","D4a","4 Month"
"01013",2023,"Forage Sorghum","Drought","2023-10-24","D3","3 Month"
"01013",2012,"Forage Sorghum","Drought","2012-05-01","D4a","4 Month"
"01013",2011,"Forage Sorghum","Drought","2011-06-07","D3","2 Month"
"01013",2023,"Full Season Improved Pasture","Drought","2023-10-24","D3","3 Month"
"01013",2017,"Full Season Improved Pasture","Drought","2016-12-01","D4a","4 Month"
"01013",2016,"Full Season Improved Pasture","Drought","2016-11-22","D4a","4 Month"
"01013",2012,"Improved Pasture","Drought","2012-03-20","D4a","4 Month"
"01013",2011,"Improved Pasture","Drought","2011-06-07","D3","2 Month"
"01013",2010,"Improved Pasture","Drought","2010-09-21","D2","1 Month"
"01013",2017,"Long Season Small Grains","Drought","2016-11-22","D4a","4 Month"
"01013",2012,"Long Season Small Grains","Drought","2011-11-15","D4a","4 Month"
"01013",2008,"Small Grains","Drought","2007-11-20","D4","3 Month"
"01015",2024,"Annual Ryegrass","Drought","2023-12-01","D4a","4 Month"
"01015",2017,"Annual Ryegrass","Drought","2016-12-01","D4b","5 Month"
"01015",2016,"Forage Sorghum","Drought","2016-07-01","D3","3 Month"
"01015",2012,"Forage Sorghum","Drought","2012-08-07","D3","3 Month"
"01015",2008,"Forage Sorghum","Drought","2008-07-01","D2","1 Month"
"01015",2024,"Full Season Improved Mixed Pasture","Drought","2023-12-01","D4a","4 Month"
"01015",2023,"Full Season Improved Pasture","Drought","2023-11-14","D3","3 Month"
"01015",2017,"Full Season Improved Pasture","Drought","2016-12-01","D4b","5 Month"
"01015",2016,"Full Season Improved Pasture","Drought","2016-06-21","D4b","5 Month"
"01015",2012,"Improved Pasture","Drought","2012-08-07","D3","3 Month"
"01015",2008,"Improved Pasture","Drought","2008-04-01","D4","3 Month"
"01015",2024,"Long Season Small Grains","Drought","2023-12-01","D4a","4 Month"
"01015",2017,"Long Season Small Grains","Drought","2016-12-01","D4b","5 Month"
"01015",2008,"Small Grains","Drought","2007-12-01","D4","3 Month"
