FSA_STATE,PASTURE_TYPE,GROWING_SEASON_START,GROWING_SEASON_END,PROGRAM_YEAR
01-AL,ANNUAL RYEGRASS,12-03,05-03,"2017, 2018"
01-AL,FORAGE SORGHUM,05-03,11-02,"2019, 2022"
01-AL,FULL SEASON IMPROVE MIXED,12-03,10-17,"2018, 2019, 2020, 2022"
01-AL,FULL SEASON IMPROVED,04-03,11-17,"2019, 2020, 2022"
01-AL,FULL SEASON IMPROVED,12-03,10-17,2017
01-AL,LONG SEASON SMALL GRAINS,11-17,05-03,"2017, 2018"
01-AL,LONG SEASON SMALL GRAINS,12-03,05-03,"2017, 2018"
02-AK,FULL SEASON IMPROVED,05-03,10-02,2019
02-AK,FULL SEASON IMPROVED,05-03,10-17,2019
02-AK,FULL SEASON IMPROVED,05-03,11-02,2019
04-AZ,NATIVE PASTURE,01-03,01-02,"2017, 2018, 2019, 2020, 2021, 2022"
05-AR,ANNUAL RYEGRASS,07-03,10-31,"2012, 2013"
05-AR,ANNUAL RYEGRASS,11-03,04-02,"2017, 2018, 2022"
05-AR,COOL SEASON IMPROVED,11-03,04-02,2017
05-AR,FORAGE SORGHUM,04-03,11-02,"2018, 2020, 2022"
05-AR,FULL SEASON IMPROVED,01-17,11-17,"2018, 2020, 2022"
05-AR,LONG SEASON SMALL GRAINS,11-03,04-02,"2017, 2018, 2022"
05-AR,NATIVE PASTURE,03-17,11-17,"2018, 2020, 2022"
05-AR,SHORT SEASON SMALL GRAINS,11-03,03-17,"2017, 2018, 2022"
06-CA,FULL SEASON IMPROVED,01-03,01-02,2017
06-CA,FULL SEASON IMPROVED,10-03,10-02,"2018, 2019, 2020, 2021, 2022"
06-CA,LONG SEASON SMALL GRAINS,04-03,07-01,"2017, 2018, 2020, 2021, 2022"
06-CA,NATIVE PASTURE,10-03,10-02,"2017, 2018, 2019, 2020, 2021, 2022"
08-CO,FORAGE SORGHUM,07-17,09-17,"2018, 2020"
08-CO,FORAGE SORGHUM,07-17,10-02,"2018, 2020, 2021, 2022"
08-CO,FORAGE SORGHUM,07-17,10-17,"2018, 2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,04-03,10-17,2020
08-CO,FULL SEASON IMPROVED,04-03,11-02,"2018, 2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,04-17,10-17,"2018, 2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,04-17,11-02,"2018, 2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,05-03,10-02,"2018, 2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,05-03,10-17,"2018, 2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,05-03,11-02,"2020, 2022"
08-CO,FULL SEASON IMPROVED,05-17,10-02,"2018, 2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,05-17,10-17,"2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,05-17,11-02,"2020, 2021, 2022"
08-CO,FULL SEASON IMPROVED,06-03,09-17,2018
08-CO,LONG SEASON SMALL GRAINS,11-03,03-17,"2017, 2018"
08-CO,LONG SEASON SMALL GRAINS,11-03,05-03,"2019, 2020, 2021, 2022"
08-CO,NATIVE PASTURE,01-03,01-02,"2020, 2021"
08-CO,NATIVE PASTURE,04-03,01-02,2022
08-CO,NATIVE PASTURE,04-03,11-02,2018
08-CO,NATIVE PASTURE,04-17,01-02,2022
08-CO,NATIVE PASTURE,04-17,10-17,2018
08-CO,NATIVE PASTURE,04-17,11-02,2018
08-CO,NATIVE PASTURE,05-03,01-02,2022
08-CO,NATIVE PASTURE,05-03,10-02,2018
08-CO,NATIVE PASTURE,05-03,10-17,2018
08-CO,NATIVE PASTURE,05-17,01-02,2022
08-CO,NATIVE PASTURE,05-17,10-02,2018
08-CO,NATIVE PASTURE,05-18,10-03,"2018, 2020, 2021, 2022"
08-CO,NATIVE PASTURE,06-03,09-17,2018
08-CO,SHORT SEASON SMALL GRAINS,11-03,03-03,"2019, 2020, 2021, 2022"
09-CT,FULL SEASON IMPROVED,05-03,11-02,"2020, 2022"
09-CT,FULL SEASON IMPROVED,05-03,11-17,"2020, 2022"
09-CT,FULL SEASON IMPROVED,05-04,10-31,2016
09-CT,NATIVE PASTURE,05-03,11-02,"2020, 2022"
09-CT,NATIVE PASTURE,05-03,11-17,"2020, 2022"
09-CT,NATIVE PASTURE,05-04,10-31,2016
12-FL,ANNUAL CRABGRASS,03-03,11-02,2017
12-FL,ANNUAL CRABGRASS,03-17,10-17,2017
12-FL,ANNUAL CRABGRASS,04-03,10-03,2017
12-FL,ANNUAL CRABGRASS,04-03,10-17,2019
12-FL,ANNUAL RYEGRASS,12-03,05-02,"2017, 2020"
12-FL,FORAGE SORGHUM,06-03,10-02,"2017, 2019"
12-FL,FULL SEASON IMPROVE MIXED,12-03,10-17,"2019, 2020"
12-FL,FULL SEASON IMPROVED,12-03,10-03,2017
12-FL,FULL SEASON IMPROVED,12-03,10-17,"2017, 2019, 2020"
12-FL,FULL SEASON IMPROVED,12-03,11-02,2017
12-FL,LONG SEASON SMALL GRAINS,12-03,03-17,2017
12-FL,NATIVE PASTURE,03-03,11-02,2017
12-FL,NATIVE PASTURE,03-17,10-17,2017
12-FL,NATIVE PASTURE,04-03,10-03,2017
12-FL,NATIVE PASTURE,04-03,10-17,2019
13-GA,ANNUAL RYEGRASS,02-03,06-01,2017
13-GA,ANNUAL RYEGRASS,02-03,06-02,2018
13-GA,FULL SEASON IMPROVE MIXED,03-03,12-02,"2018, 2019, 2022"
13-GA,FULL SEASON IMPROVE MIXED,04-03,11-17,2019
13-GA,FULL SEASON IMPROVE MIXED,04-03,12-02,2019
13-GA,FULL SEASON IMPROVED,03-17,11-03,"2018, 2019, 2022"
13-GA,FULL SEASON IMPROVED,03-17,12-03,2017
13-GA,FULL SEASON IMPROVED,04-03,11-17,2019
13-GA,LONG SEASON SMALL GRAINS,12-17,04-02,2017
13-GA,NATIVE PASTURE,03-17,11-03,"2018, 2019, 2022"
13-GA,NATIVE PASTURE,03-17,12-03,2017
13-GA,NATIVE PASTURE,04-03,11-17,2019
15-HI,FULL SEASON IMPROVED,01-03,01-02,"2017, 2019, 2020, 2021, 2022"
15-HI,NATIVE PASTURE,01-03,01-02,"2017, 2019, 2020, 2021, 2022"
16-ID,FULL SEASON IMPROVED,01-03,01-02,"2019, 2021, 2022"
16-ID,FULL SEASON IMPROVED,03-17,12-17,"2021, 2022"
16-ID,FULL SEASON IMPROVED,04-03,01-02,"2021, 2022"
16-ID,FULL SEASON IMPROVED,04-03,11-02,"2018, 2021"
16-ID,FULL SEASON IMPROVED,04-03,12-02,2021
16-ID,FULL SEASON IMPROVED,04-17,10-17,"2021, 2022"
16-ID,FULL SEASON IMPROVED,04-17,11-02,"2021, 2022"
16-ID,FULL SEASON IMPROVED,04-17,11-17,"2021, 2022"
16-ID,FULL SEASON IMPROVED,04-17,12-02,"2021, 2022"
16-ID,FULL SEASON IMPROVED,04-22,12-02,"2021, 2022"
16-ID,FULL SEASON IMPROVED,05-03,01-02,"2020, 2021, 2022"
16-ID,FULL SEASON IMPROVED,05-03,10-02,"2020, 2021, 2022"
16-ID,FULL SEASON IMPROVED,05-03,10-17,"2020, 2021"
16-ID,FULL SEASON IMPROVED,05-03,11-02,"2017, 2021, 2022"
16-ID,FULL SEASON IMPROVED,05-03,11-17,"2021, 2022"
16-ID,FULL SEASON IMPROVED,05-10,11-10,2015
16-ID,FULL SEASON IMPROVED,05-12,11-12,2021
16-ID,FULL SEASON IMPROVED,05-17,01-02,"2020, 2021, 2022"
16-ID,FULL SEASON IMPROVED,05-17,10-12,2017
16-ID,FULL SEASON IMPROVED,05-17,10-17,"2021, 2022"
16-ID,FULL SEASON IMPROVED,05-17,11-17,"2021, 2022"
16-ID,FULL SEASON IMPROVED,05-20,10-15,2015
16-ID,IMPROVED PASTURE,05-10,11-10,"2013, 2014"
16-ID,IMPROVED PASTURE,05-20,10-15,2013
16-ID,LONG SEASON SMALL GRAINS,05-03,08-02,2021
16-ID,LONG SEASON SMALL GRAINS,05-17,11-17,"2021, 2022"
16-ID,LONG SEASON SMALL GRAINS,06-17,10-03,2021
16-ID,NATIVE PASTURE,01-03,01-02,"2019, 2021, 2022"
16-ID,NATIVE PASTURE,03-17,12-17,"2021, 2022"
16-ID,NATIVE PASTURE,04-03,01-02,"2021, 2022"
16-ID,NATIVE PASTURE,04-03,11-02,"2018, 2021"
16-ID,NATIVE PASTURE,04-03,12-02,2021
16-ID,NATIVE PASTURE,04-17,01-02,"2020, 2021, 2022"
16-ID,NATIVE PASTURE,04-17,10-17,"2021, 2022"
16-ID,NATIVE PASTURE,04-17,11-02,"2021, 2022"
16-ID,NATIVE PASTURE,04-17,11-17,"2021, 2022"
16-ID,NATIVE PASTURE,04-17,12-02,"2021, 2022"
16-ID,NATIVE PASTURE,04-22,12-02,"2021, 2022"
16-ID,NATIVE PASTURE,05-03,01-02,"2020, 2021, 2022"
